"Hi! Do you want to give us your opinion about our service?","مرحباً، هل تريد إعطاءنا رأيك في الخدمة المقدمة عبر تطبيقنا؟"
"Hi %1,","مرحباً %1,"
"We are working hard to improve our service and your opinion is very important for us. Do you like to give us your feedback about your experience in our website? Please click in the next link below:","نعمل بجد لنقوم بتطوير خدمتنا عبر تطبيقنا وموقعنا الالكتروني، هل يمكن أن تزودنا بتجربتك في استخدام (موقعنا/تطبيقنا) للقيام بذلك انقر على الرابط في الأسفل:"
"Go to website","الذهاب إلى الموقع"
"Give us your feedback","أعطنا رأيك بكل صراحة"
"Your opinion is very important for us! Could you complete this form to tell us your opinion about our service?","رأيك يهمنا! هل يمكن ملئ النموذج التالي لمعرفة رأيك حول خدمتنا؟"
"Very satisfied","الخدمة ممتازة"
"Satisfied","الخدمة جيدة"
"Neutral","الخدمة عادية"
"Unsatisfied","الخدمة غير جيدة"
"Very unsatisfied","الخدمة فظيعة"
"Delivery:","التوصيل:"
"Product:","المنتج:"
"Customer support:","الدعم الفني:"
"Comment:","التعليق:"
"Send","إرسال"
"An unspecified error occurred. Please contact us for assistance.","حدث خطأ غير متوقع، الرجاء التواصل معنا للمساعدة."
"Shipping value is required. Please enter the value and try again.","تقييم طريقة التوصيل مهم، الرجاء ملئ الحقل وإعادة الإرسال."
"Product value is required. Please enter the value and try again.","تقييم المنتجات مهم، الرجاء ملئ الحقل وإعادة الإرسال."
"Customer support value is required. Please enter the value and try again.","تقييم الدعم الفني مهم، الرجاء ملئ الحقل وإعادة الإرسال."
"Invalid form key.","خطأ في النموذج الرجاء تحديث الصفحة."
"Thanks for give us your opinion! :)","شكراً لك على إعطائنا رأيك، رأيك يهمنا!"
"Shipping value has a wrong value. Please enter a numeric valid value","القيمة المدخلة في حقل تقييم التوصيل غير صحيحة الرجاء إدخال قيمة رقمية من 1-5"
"Product value has a wrong value. Please enter a numeric valid value.","القيمة المدخلة في حقل تقييم المنتجات غير صحيحة الرجاء إدخال قيمة رقمية من 1-5"
"Customer support value has a wrong value. Please enter a numeric valid value.","القيمة المدخلة في حقل تقييم الدعم الفني غير صحيحة الرجاء إدخال قيمة رقمية من 1-5"
"Order does not exists","الطلب غير موجود"
"Customer reviews","تقييم المستخدم"
"A better service is possible because our clients give us his opinion. Check his opinions to know what are thinking our clients for about us:","إن تحسين الخدمة المقدمة يقوم على تقييم الزبائن لنا"
"Sorry, we can't show any review.","عذراً لا يمكن عرض أي تقييم."
"Sorry, you have already sent us a review for this order.","عذراً، لقد قمت بتقييم هذا الطلب من قبل."